director,user_rating,runtime,link,description,star1,star2,star3,star4,title,year,rank
Quentin Tarantino,8.9,154 mins.,/title/tt0110912/,"The lives of two mob hit men,  a boxer,  a gangster's wife,  and a pair of diner bandits intertwine in four tales of violence and redemption. ",John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis,Pulp Fiction,1994,1
Marc Webb,6.7,142 mins.,/title/tt1872181/,"When New York is put under siege by Oscorp,  it is up to Spider-Man to save the city he swore to protect as well as his loved ones. ",Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti,The Amazing Spider-Man 2,2014,2
Frank Darabont,9.3,142 mins.,/title/tt0111161/,"Two imprisoned men bond over a number of years,  finding solace and eventual redemption through acts of common decency. ",Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler,The Shawshank Redemption,1994,3
George Lucas,8.7,121 mins.,/title/tt0076759/,"Luke Skywalker joins forces with a Jedi Knight,  a cocky pilot,  a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station,  while also attempting to rescue Princess Leia from the evil Darth Vader. ",Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness,Star Wars: Episode IV - A New Hope,1977,4
Robert Zemeckis,8.5,116 mins.,/title/tt0088763/,"Marty McFly,  a 17-year-old high school student,  is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend,  the maverick scientist Doc Brown. ",Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover,Back to the Future,1985,5
John Hughes,7.9,97 mins.,/title/tt0088847/,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought. ,Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy,The Breakfast Club,1985,6
Richard Donner,7.8,114 mins.,/title/tt0089218/,"In order to save their home from foreclosure,  a group of misfits set out to find a pirate's ancient valuable treasure. ",Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman,The Goonies,1985,7
Jonathan Demme,8.6,118 mins.,/title/tt0102926/,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims. ,Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons,The Silence of the Lambs,1991,8
Steven Spielberg,8.1,127 mins.,/title/tt0107290/,"During a preview tour,  a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok. ",Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough,Jurassic Park,1993,9
Roger Allers,8.5,88 mins.,/title/tt0110357/,Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble. ,Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg,The Lion King,1994,10
David Fincher,8.6,127 mins.,/title/tt0114369/,"Two detectives,  a rookie and a veteran,  hunt a serial killer who uses the seven deadly sins as his modus operandi. ",Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker,Se7en,1995,11
John Lasseter,8.3,81 mins.,/title/tt0114709/,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room. ,Tom Hanks, Tim Allen, Don Rickles, Jim Varney,Toy Story,1995,12
Joel Coen,8.2,117 mins.,/title/tt0118715/,"""The Dude"" Lebowski,  mistaken for a millionaire Lebowski,  seeks restitution for his ruined rug and enlists his bowling buddies to help get it. ",Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi,The Big Lebowski,1998,13
