Budget,title,DomesticGross,WorldwideGross
"$425,000,000 ",Avatar,"$760,507,625 ","$2,783,918,982 "
"$306,000,000 ",Star Wars Ep. VII: The Force Awakens,"$936,662,225 ","$2,058,662,225 "
"$300,000,000 ",Pirates of the Caribbean: At WorldÌ¢‰âÂ‰ã¢s End,"$309,420,425 ","$963,420,425 "
"$300,000,000 ",Spectre,"$200,074,175 ","$879,620,923 "
"$275,000,000 ",The Dark Knight Rises,"$448,139,099 ","$1,084,439,099 "
"$275,000,000 ",The Lone Ranger,"$89,302,115 ","$260,002,115 "
"$275,000,000 ",John Carter,"$73,058,679 ","$282,778,100 "
"$260,000,000 ",Tangled,"$200,821,936 ","$586,581,936 "
"$258,000,000 ",Spider-Man 3,"$336,530,303 ","$890,875,303 "
"$250,000,000 ",Avengers: Age of Ultron,"$459,005,868 ","$1,404,705,868 "
"$250,000,000 ",Captain America: Civil War,"$408,084,349 ","$1,151,684,349 "
"$250,000,000 ",Batman v Superman: Dawn of Justice,"$330,360,194 ","$868,160,194 "
"$250,000,000 ",The Hobbit: An Unexpected Journey,"$303,003,568 ","$1,017,003,568 "
"$250,000,000 ",Harry Potter and the Half-Blood Prince,"$301,959,197 ","$935,083,686 "
"$250,000,000 ",The Hobbit: The Desolation of Smaug,"$258,366,855 ","$960,366,855 "
"$250,000,000 ",The Hobbit: The Battle of the Five Armies,"$255,119,788 ","$955,119,788 "
"$250,000,000 ",Pirates of the Caribbean: On Stranger Tides,"$241,063,875 ","$1,045,663,875 "
"$232,000,000 ",Superman Returns,"$200,120,000 ","$374,085,065 "
"$230,000,000 ",Quantum of Solace,"$169,368,427 ","$591,692,078 "
"$225,000,000 ",The Avengers,"$623,279,547 ","$1,519,479,547 "
"$225,000,000 ",Pirates of the Caribbean: Dead ManÌ¢‰âÂ‰ã¢s Chest,"$423,315,812 ","$1,066,215,812 "
"$225,000,000 ",Man of Steel,"$291,045,518 ","$667,999,518 "
"$225,000,000 ",The Chronicles of Narnia: Prince Caspian,"$141,621,490 ","$417,341,288 "
"$220,000,000 ",The Amazing Spider-Man,"$262,030,663 ","$757,890,267 "
"$215,000,000 ",Jurassic World,"$652,198,010 ","$1,671,640,593 "
"$215,000,000 ",Men in Black 3,"$179,020,854 ","$654,213,485 "
"$210,000,000 ",Transformers: Revenge of the Fallen,"$402,111,870 ","$836,519,699 "
"$210,000,000 ",Transformers: Age of Extinction,"$245,439,076 ","$1,104,039,076 "
"$210,000,000 ",X-Men: The Last Stand,"$234,362,462 ","$459,359,555 "
"$210,000,000 ",Robin Hood,"$105,269,730 ","$322,241,588 "
"$209,000,000 ",Battleship,"$65,233,400 ","$305,218,228 "
"$207,000,000 ",King Kong,"$218,080,025 ","$550,517,357 "
"$205,000,000 ",The Golden Compass,"$70,107,728 ","$367,262,558 "
"$200,000,000 ",Titanic,"$658,672,302 ","$2,207,615,668 "
"$200,000,000 ",Rogue One: A Star Wars Story,"$521,017,843 ","$1,026,732,686 "
"$200,000,000 ",Finding Dory,"$486,295,561 ","$1,022,617,376 "
"$200,000,000 ",Toy Story 3,"$415,004,880 ","$1,069,818,229 "
"$200,000,000 ",Iron Man 3,"$408,992,272 ","$1,215,392,272 "
"$200,000,000 ",Spider-Man 2,"$373,524,485 ","$783,705,001 "
"$200,000,000 ",Alice in Wonderland,"$334,191,110 ","$1,025,491,110 "
"$200,000,000 ",Skyfall,"$304,360,277 ","$1,110,526,981 "
"$200,000,000 ",Monsters University,"$268,488,329 ","$743,588,329 "
"$200,000,000 ",Oz the Great and Powerful,"$234,770,996 ","$490,359,051 "
"$200,000,000 ",X-Men: Days of Future Past,"$233,921,534 ","$747,862,775 "
